src_id,dst_id,distance_km
15b79502-de12-43a5-b744-e74dba4dbaf3,6b63bef6-3d45-4b40-bde5-052e00bd88de,10.65846084814897
6b63bef6-3d45-4b40-bde5-052e00bd88de,cf29ef1a-6a0c-45c8-8d3e-ef729632fa22,10.659110615854871
cf29ef1a-6a0c-45c8-8d3e-ef729632fa22,be1a0e61-7f00-424d-8f94-50e6279f664c,10.659795588229835
be1a0e61-7f00-424d-8f94-50e6279f664c,a471e274-4a7e-494a-98b5-e9a13f17b79e,10.660515517395275
a471e274-4a7e-494a-98b5-e9a13f17b79e,3af0ab24-8afc-455c-b2eb-107bd7eacab8,10.661270466777955
3af0ab24-8afc-455c-b2eb-107bd7eacab8,b48100c0-5a5c-4582-afdb-dbee78f57a8c,10.66206011638479
b48100c0-5a5c-4582-afdb-dbee78f57a8c,f4087ee5-9333-4a9d-9e1d-0cd5fa34089f,10.662884712151865
f4087ee5-9333-4a9d-9e1d-0cd5fa34089f,3f19cec5-8a6b-4612-8ce0-aa5b3337af40,10.663743806009993
3f19cec5-8a6b-4612-8ce0-aa5b3337af40,3a9554ad-6304-4ed4-976a-9b1d05be0dc3,10.664637560020985
3a9554ad-6304-4ed4-976a-9b1d05be0dc3,c1d8499a-49f5-4269-be48-afe8df534f87,10.665565845622949
c1d8499a-49f5-4269-be48-afe8df534f87,f98b3c7a-d4fe-434f-8461-7d9dff522bf8,10.666528635983408
f98b3c7a-d4fe-434f-8461-7d9dff522bf8,8c0ed515-1054-4d49-a404-11fb737f94ca,10.667525572300509
8c0ed515-1054-4d49-a404-11fb737f94ca,2dbc6624-af7c-4c3c-88a4-ccadfe3e308c,10.668556974809793
2dbc6624-af7c-4c3c-88a4-ccadfe3e308c,9fe23041-7c02-4840-9b11-a36259d9400c,10.669622523764051
9fe23041-7c02-4840-9b11-a36259d9400c,15eac167-93fd-4959-bb1a-8474c858e47d,10.670722141217606
15eac167-93fd-4959-bb1a-8474c858e47d,b734f497-7d1e-44b8-8f43-e3b1b51d9291,10.671855714046355
b734f497-7d1e-44b8-8f43-e3b1b51d9291,f23f12cb-7fb6-423f-852c-0b29f4445095,10.673023261486296
f23f12cb-7fb6-423f-852c-0b29f4445095,5b575786-ea83-46d1-8d83-73519484781c,10.674224806184252
5b575786-ea83-46d1-8d83-73519484781c,cb76a725-5449-44f1-9511-f7e54d7490b3,10.67545984573787
cb76a725-5449-44f1-9511-f7e54d7490b3,cfd1c839-10fa-463d-8186-f0b0a23b9041,10.676728771876109
cfd1c839-10fa-463d-8186-f0b0a23b9041,de05e8b3-6540-447f-a34e-6ceab2f40a2f,10.678031130967524
de05e8b3-6540-447f-a34e-6ceab2f40a2f,55d2cb63-3f8f-4b6c-b70e-8687b6c7c80a,10.679366956825646
55d2cb63-3f8f-4b6c-b70e-8687b6c7c80a,39997847-3833-4011-9119-2117721a821a,10.680736342789196
