S/N,HS Code,HS Description,HS Qty Unit,Competent Authorities - Controlling by HS Code,,,CA Product Code,CA Product Description,CA Product Qty Unit,Competent Authorities - Controlling by Product Code,,,Duty Rates,
391,02023000,BONELESS MEAT OF BOVINE ANIMALS FROZEN (TNE),TNE,MEA,MEA,-,MBF035,BEEF WAGYU BONELESS FROZEN,TNE,MEA,MEA,-,-,-
392,02023000,BONELESS MEAT OF BOVINE ANIMALS FROZEN (TNE),TNE,MEA,MEA,-,MBF03Z,BEEF CUTS BONELESS OTHERS FROZEN,TNE,MEA,MEA,-,-,-
393,02023000,BONELESS MEAT OF BOVINE ANIMALS FROZEN (TNE),TNE,MEA,MEA,-,MBF052,VEAL CROP/FOREQUARTER BONELESS FROZEN,TNE,MEA,MEA,-,-,-
394,02023000,BONELESS MEAT OF BOVINE ANIMALS FROZEN (TNE),TNE,MEA,MEA,-,MBF053,VEAL LEG/HINDQUARTER BONELESS FROZEN,TNE,MEA,MEA,-,-,-
395,02023000,BONELESS MEAT OF BOVINE ANIMALS FROZEN (TNE),TNE,MEA,MEA,-,MBF054,VEAL SHOULDER BONELESS FROZEN,TNE,MEA,MEA,-,-,-
396,02023000,BONELESS MEAT OF BOVINE ANIMALS FROZEN (TNE),TNE,MEA,MEA,-,MBF055,VEAL CHUCK/BLADE BONELESS FROZEN,TNE,MEA,MEA,-,-,-
397,02023000,BONELESS MEAT OF BOVINE ANIMALS FROZEN (TNE),TNE,MEA,MEA,-,MBF056,VEAL RIB BONELESS FROZEN,TNE,MEA,MEA,-,-,-
398,02023000,BONELESS MEAT OF BOVINE ANIMALS FROZEN (TNE),TNE,MEA,MEA,-,MBF057,VEAL NECK/CLOD BONELESS FROZEN,TNE,MEA,MEA,-,-,-
399,02023000,BONELESS MEAT OF BOVINE ANIMALS FROZEN (TNE),TNE,MEA,MEA,-,MBF058,VEAL BREAST/BRISKET/FLAP BONELESS FROZEN,TNE,MEA,MEA,-,-,-
400,02023000,BONELESS MEAT OF BOVINE ANIMALS FROZEN (TNE),TNE,MEA,MEA,-,MBF059,VEAL SHANK/SHIN BONELESS FROZEN,TNE,MEA,MEA,-,-,-
401,02023000,BONELESS MEAT OF BOVINE ANIMALS FROZEN (TNE),TNE,MEA,MEA,-,MBF05A,VEAL BACKSTRAP BONELESS FROZEN,TNE,MEA,MEA,-,-,-
402,02023000,BONELESS MEAT OF BOVINE ANIMALS FROZEN (TNE),TNE,MEA,MEA,-,MBF05B,VEAL BUTT/RUMP BONELESS FROZEN,TNE,MEA,MEA,-,-,-
403,02023000,BONELESS MEAT OF BOVINE ANIMALS FROZEN (TNE),TNE,MEA,MEA,-,MBF05L,VEAL LOIN/SHORTLOIN/RACK BONELESS FROZEN,TNE,MEA,MEA,-,-,-
404,02023000,BONELESS MEAT OF BOVINE ANIMALS FROZEN (TNE),TNE,MEA,MEA,-,MBF05R,VEAL TRUNK BONELESS FROZEN,TNE,MEA,MEA,-,-,-
405,02023000,BONELESS MEAT OF BOVINE ANIMALS FROZEN (TNE),TNE,MEA,MEA,-,MBF05S,VEAL STRIPLOIN BONELESS FROZEN,TNE,MEA,MEA,-,-,-
406,02023000,BONELESS MEAT OF BOVINE ANIMALS FROZEN (TNE),TNE,MEA,MEA,-,MBF05T,VEAL TOPSIRLOIN BONELESS FROZEN,TNE,MEA,MEA,-,-,-
407,02023000,BONELESS MEAT OF BOVINE ANIMALS FROZEN (TNE),TNE,MEA,MEA,-,MBF061,VEAL TENDERLOIN/FILLET BONELESS FROZEN,TNE,MEA,MEA,-,-,-
408,02023000,BONELESS MEAT OF BOVINE ANIMALS FROZEN (TNE),TNE,MEA,MEA,-,MBF062,VEAL TOPSIDE/INSIDE BONELESS FROZEN,TNE,MEA,MEA,-,-,-
409,02023000,BONELESS MEAT OF BOVINE ANIMALS FROZEN (TNE),TNE,MEA,MEA,-,MBF063,VEAL OUTSIDE BONELESS FROZEN,TNE,MEA,MEA,-,-,-
410,02023000,BONELESS MEAT OF BOVINE ANIMALS FROZEN (TNE),TNE,MEA,MEA,-,MBF064,VEAL SILVERSIDE BONELESS FROZEN,TNE,MEA,MEA,-,-,-
411,02023000,BONELESS MEAT OF BOVINE ANIMALS FROZEN (TNE),TNE,MEA,MEA,-,MBF065,VEAL EYE ROUND BONELESS FROZEN,TNE,MEA,MEA,-,-,-
412,02023000,BONELESS MEAT OF BOVINE ANIMALS FROZEN (TNE),TNE,MEA,MEA,-,MBF066,VEAL KNUCKLE/FLANK BONELESS FROZEN,TNE,MEA,MEA,-,-,-
413,02023000,BONELESS MEAT OF BOVINE ANIMALS FROZEN (TNE),TNE,MEA,MEA,-,MBF012,BEEF CROP/FOREQUARTER BONELESS FROZEN,TNE,MEA,MEA,-,-,-
414,02023000,BONELESS MEAT OF BOVINE ANIMALS FROZEN (TNE),TNE,MEA,MEA,-,MBF013,BEEF LEG/HINDQUARTER BONELESS FROZEN,TNE,MEA,MEA,-,-,-
415,02023000,BONELESS MEAT OF BOVINE ANIMALS FROZEN (TNE),TNE,MEA,MEA,-,MBF014,BEEF SHOULDER BONELESS FROZEN,TNE,MEA,MEA,-,-,-
416,02023000,BONELESS MEAT OF BOVINE ANIMALS FROZEN (TNE),TNE,MEA,MEA,-,MBF015,BEEF CHUCK/BLADE BONELESS FROZEN,TNE,MEA,MEA,-,-,-
417,02023000,BONELESS MEAT OF BOVINE ANIMALS FROZEN (TNE),TNE,MEA,MEA,-,MBF016,BEEF RIB BONELESS FROZEN,TNE,MEA,MEA,-,-,-
418,02023000,BONELESS MEAT OF BOVINE ANIMALS FROZEN (TNE),TNE,MEA,MEA,-,MBF017,BEEF NECK/CLOD BONELESS FROZEN,TNE,MEA,MEA,-,-,-
419,02023000,BONELESS MEAT OF BOVINE ANIMALS FROZEN (TNE),TNE,MEA,MEA,-,MBF018,BEEF BREAST/BRISKET/FLAP BONELESS FROZEN,TNE,MEA,MEA,-,-,-
420,02023000,BONELESS MEAT OF BOVINE ANIMALS FROZEN (TNE),TNE,MEA,MEA,-,MBF06Z,VEAL CUTS BONELESS OTHERS FROZEN,TNE,MEA,MEA,-,-,-
421,02023000,BONELESS MEAT OF BOVINE ANIMALS FROZEN (TNE),TNE,MEA,MEA,-,MBF0ZX,BEEF MECHANICALLY DEBONED FROZEN,TNE,MEA,MEA,-,-,-
422,02023000,BONELESS MEAT OF BOVINE ANIMALS FROZEN (TNE),TNE,MEA,MEA,-,MISC,NON-CONTROLLED ITEM,TNE,-,MEA,-,-,-
423,02031100,CARCASSES & HALF CARCASSES OF SWINE FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MPC000,PORK  CARCASS BONE-IN CHILLED,TNE,MEA,MEA,-,-,-
424,02031100,CARCASSES & HALF CARCASSES OF SWINE FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MPC001,PORK SIDE BONE-IN CHILLED,TNE,MEA,MEA,-,-,-
425,02031100,CARCASSES & HALF CARCASSES OF SWINE FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MPC010,PORK  CARCASS BONELESS CHILLED,TNE,MEA,MEA,-,-,-
426,02031100,CARCASSES & HALF CARCASSES OF SWINE FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MPC040,SMALL PIG BONE-IN CHILLED,TNE,MEA,MEA,-,-,-
427,02031100,CARCASSES & HALF CARCASSES OF SWINE FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MPC041,SUCKLING PIG BONE-IN CHILLED,TNE,MEA,MEA,-,-,-
428,02031200,HAMS SHOULDERS & CUTS THEREOF OF SWINE WITH BONE IN FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MPC003,PORK HAM/LEG BONE-IN CHILLED,TNE,MEA,MEA,-,-,-
429,02031200,HAMS SHOULDERS & CUTS THEREOF OF SWINE WITH BONE IN FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MPC004,PORK SHOULDER BONE-IN CHILLED,TNE,MEA,MEA,-,-,-
430,02031900,OTHER MEAT OF SWINE FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MPC006,PORK SOFTBONE/RIB/RIBLET BONE-IN CHILLED,TNE,MEA,MEA,-,-,-
431,02031900,OTHER MEAT OF SWINE FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MPC007,PORK COLLAR/NAPE BONE-IN CHILLED,TNE,MEA,MEA,-,-,-
432,02031900,OTHER MEAT OF SWINE FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MPC008,PORK BELLY BONE-IN CHILLED,TNE,MEA,MEA,-,-,-
433,02031900,OTHER MEAT OF SWINE FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MPC009,PORK HOCK BONE-IN CHILLED,TNE,MEA,MEA,-,-,-
434,02031900,OTHER MEAT OF SWINE FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MPC00B,PORK BUTT BONE-IN CHILLED,TNE,MEA,MEA,-,-,-
435,02031900,OTHER MEAT OF SWINE FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MPC00L,PORK LOIN BONE-IN CHILLED,TNE,MEA,MEA,-,-,-
436,02031900,OTHER MEAT OF SWINE FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MPC00M,PORK MIDDLE BONE-IN CHILLED,TNE,MEA,MEA,-,-,-
437,02031900,OTHER MEAT OF SWINE FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MPC00Q,PORK QUARTER BONE-IN CHILLED,TNE,MEA,MEA,-,-,-
438,02031900,OTHER MEAT OF SWINE FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MPC00R,PORK TRUNK BONE-IN CHILLED,TNE,MEA,MEA,-,-,-
439,02031900,OTHER MEAT OF SWINE FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MPC00Z,PORK CUTS BONE-IN OTHERS CHILLED,TNE,MEA,MEA,-,-,-
440,02031900,OTHER MEAT OF SWINE FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MPC013,PORK HAM/LEG BONELESS CHILLED,TNE,MEA,MEA,-,-,-
441,02031900,OTHER MEAT OF SWINE FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MPC014,PORK SHOULDER BONELESS CHILLED,TNE,MEA,MEA,-,-,-
442,02031900,OTHER MEAT OF SWINE FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MPC015,PORK CONICAL MUSCLE BONELESS CHILLED,TNE,MEA,MEA,-,-,-
443,02031900,OTHER MEAT OF SWINE FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MPC017,PORK COLLAR/NAPE BONELESS CHILLED,TNE,MEA,MEA,-,-,-
444,02031900,OTHER MEAT OF SWINE FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MPC018,PORK BELLY BONELESS CHILLED,TNE,MEA,MEA,-,-,-
445,02031900,OTHER MEAT OF SWINE FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MPC019,PORK HOCK BONELESS CHILLED,TNE,MEA,MEA,-,-,-
446,02031900,OTHER MEAT OF SWINE FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MPC01B,PORK BUTT BONELESS CHILLED,TNE,MEA,MEA,-,-,-
447,02031900,OTHER MEAT OF SWINE FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MPC01L,PORK LOIN BONELESS CHILLED,TNE,MEA,MEA,-,-,-
448,02031900,OTHER MEAT OF SWINE FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MPC021,PORK TENDERLOIN/FILLET BONELESS CHILLED,TNE,MEA,MEA,-,-,-
449,02031900,OTHER MEAT OF SWINE FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MPC032,PORK TRIMMING CHILLED,TNE,MEA,MEA,-,-,-
450,02031900,OTHER MEAT OF SWINE FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MPC033,PORK DICED BONELESS CHILLED,TNE,MEA,MEA,-,-,-
451,02031900,OTHER MEAT OF SWINE FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MPC034,PORK MINCED CHILLED,TNE,MEA,MEA,-,-,-
452,02031900,OTHER MEAT OF SWINE FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MPC03Z,PORK CUTS BONELESS OTHERS CHILLED,TNE,MEA,MEA,-,-,-
453,02032100,CARCASSES & HALF CARCASSES OF SWINE FROZEN (TNE),TNE,MEA,MEA,-,MPF000,PORK CARCASS BONE-IN FROZEN,TNE,MEA,MEA,-,-,-
454,02032100,CARCASSES & HALF CARCASSES OF SWINE FROZEN (TNE),TNE,MEA,MEA,-,MPF001,PORK SIDE BONE-IN FROZEN,TNE,MEA,MEA,-,-,-
455,02032100,CARCASSES & HALF CARCASSES OF SWINE FROZEN (TNE),TNE,MEA,MEA,-,MPF010,PORK CARCASS BONELESS FROZEN,TNE,MEA,MEA,-,-,-
456,02032100,CARCASSES & HALF CARCASSES OF SWINE FROZEN (TNE),TNE,MEA,MEA,-,MPF040,SMALL PIG BONE-IN FROZEN,TNE,MEA,MEA,-,-,-
457,02032100,CARCASSES & HALF CARCASSES OF SWINE FROZEN (TNE),TNE,MEA,MEA,-,MPF041,SUCKLING PIG BONE-IN FROZEN,TNE,MEA,MEA,-,-,-
458,02032100,CARCASSES & HALF CARCASSES OF SWINE FROZEN (TNE),TNE,MEA,MEA,-,MPF051,SUCKLING PIG BONELESS FROZEN,TNE,MEA,MEA,-,-,-
459,02032100,CARCASSES & HALF CARCASSES OF SWINE FROZEN (TNE),TNE,MEA,MEA,-,MPF052,SMALL PIG BONELESS FROZEN,TNE,MEA,MEA,-,-,-
460,02032200,HAMS SHOULDERS & CUTS THEREOF OF SWINE WITH BONE IN FROZEN (TNE),TNE,MEA,MEA,-,MPF003,PORK HAM/LEG BONE-IN FROZEN,TNE,MEA,MEA,-,-,-
461,02032200,HAMS SHOULDERS & CUTS THEREOF OF SWINE WITH BONE IN FROZEN (TNE),TNE,MEA,MEA,-,MPF004,PORK SHOULDER BONE-IN FROZEN,TNE,MEA,MEA,-,-,-
462,02032900,OTHER MEAT OF SWINE FROZEN (TNE),TNE,MEA,MEA,-,MPF006,PORK SOFTBONE/RIB/RIBLET BONE-IN FROZEN,TNE,MEA,MEA,-,-,-
463,02032900,OTHER MEAT OF SWINE FROZEN (TNE),TNE,MEA,MEA,-,MPF007,PORK COLLAR/NAPE BONE-IN FROZEN,TNE,MEA,MEA,-,-,-
464,02032900,OTHER MEAT OF SWINE FROZEN (TNE),TNE,MEA,MEA,-,MPF008,PORK BELLY BONE-IN FROZEN,TNE,MEA,MEA,-,-,-
465,02032900,OTHER MEAT OF SWINE FROZEN (TNE),TNE,MEA,MEA,-,MPF009,PORK HOCK BONE-IN FROZEN,TNE,MEA,MEA,-,-,-
466,02032900,OTHER MEAT OF SWINE FROZEN (TNE),TNE,MEA,MEA,-,MPF00B,PORK BUTT BONE-IN FROZEN,TNE,MEA,MEA,-,-,-
467,02032900,OTHER MEAT OF SWINE FROZEN (TNE),TNE,MEA,MEA,-,MPF00L,PORK LOIN BONE-IN FROZEN,TNE,MEA,MEA,-,-,-
468,02032900,OTHER MEAT OF SWINE FROZEN (TNE),TNE,MEA,MEA,-,MPF00M,PORK MIDDLE BONE-IN FROZEN,TNE,MEA,MEA,-,-,-
469,02032900,OTHER MEAT OF SWINE FROZEN (TNE),TNE,MEA,MEA,-,MPF00Q,PORK QUARTER BONE-IN FROZEN,TNE,MEA,MEA,-,-,-
470,02032900,OTHER MEAT OF SWINE FROZEN (TNE),TNE,MEA,MEA,-,MPF00R,PORK TRUNK BONE-IN FROZEN,TNE,MEA,MEA,-,-,-
471,02032900,OTHER MEAT OF SWINE FROZEN (TNE),TNE,MEA,MEA,-,MPF00Z,PORK CUTS BONE-IN OTHERS FROZEN,TNE,MEA,MEA,-,-,-
472,02032900,OTHER MEAT OF SWINE FROZEN (TNE),TNE,MEA,MEA,-,MPF013,PORK HAM/LEG BONELESS FROZEN,TNE,MEA,MEA,-,-,-
473,02032900,OTHER MEAT OF SWINE FROZEN (TNE),TNE,MEA,MEA,-,MPF014,PORK SHOULDER BONELESS FROZEN,TNE,MEA,MEA,-,-,-
474,02032900,OTHER MEAT OF SWINE FROZEN (TNE),TNE,MEA,MEA,-,MPF015,PORK CONICAL MUSCLE BONELESS FROZEN,TNE,MEA,MEA,-,-,-
475,02032900,OTHER MEAT OF SWINE FROZEN (TNE),TNE,MEA,MEA,-,MPF017,PORK COLLAR/NAPE BONELESS FROZEN,TNE,MEA,MEA,-,-,-
476,02032900,OTHER MEAT OF SWINE FROZEN (TNE),TNE,MEA,MEA,-,MPF018,PORK BELLY BONELESS FROZEN,TNE,MEA,MEA,-,-,-
477,02032900,OTHER MEAT OF SWINE FROZEN (TNE),TNE,MEA,MEA,-,MPF019,PORK HOCK BONELESS FROZEN,TNE,MEA,MEA,-,-,-
478,02032900,OTHER MEAT OF SWINE FROZEN (TNE),TNE,MEA,MEA,-,MPF01B,PORK BUTT BONELESS FROZEN,TNE,MEA,MEA,-,-,-
479,02032900,OTHER MEAT OF SWINE FROZEN (TNE),TNE,MEA,MEA,-,MPF01L,PORK LOIN BONELESS FROZEN,TNE,MEA,MEA,-,-,-
480,02032900,OTHER MEAT OF SWINE FROZEN (TNE),TNE,MEA,MEA,-,MPF021,PORK TENDERLOIN/FILLET FROZEN,TNE,MEA,MEA,-,-,-
481,02032900,OTHER MEAT OF SWINE FROZEN (TNE),TNE,MEA,MEA,-,MPF032,PORK TRIMMING FROZEN,TNE,MEA,MEA,-,-,-
482,02032900,OTHER MEAT OF SWINE FROZEN (TNE),TNE,MEA,MEA,-,MPF033,PORK DICED BONELESS FROZEN,TNE,MEA,MEA,-,-,-
483,02032900,OTHER MEAT OF SWINE FROZEN (TNE),TNE,MEA,MEA,-,MPF034,PORK MINCED FROZEN,TNE,MEA,MEA,-,-,-
484,02032900,OTHER MEAT OF SWINE FROZEN (TNE),TNE,MEA,MEA,-,MPF03Z,PORK CUTS BONELESS OTHERS FROZEN,TNE,MEA,MEA,-,-,-
485,02032900,OTHER MEAT OF SWINE FROZEN (TNE),TNE,MEA,MEA,-,MPF04Z,PORK CUTS OF SMALL PIG BONE-IN FROZEN,TNE,MEA,MEA,-,-,-
486,02032900,OTHER MEAT OF SWINE FROZEN (TNE),TNE,MEA,MEA,-,MPF0ZX,PORK MECHANICALLY DEBONED FROZEN,TNE,MEA,MEA,-,-,-
487,02041000,CARCASSES & HALF CARCASSES OF LAMB FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC040,LAMBCARCASS BONE-IN CHILLED,TNE,MEA,MEA,-,-,-
488,02041000,CARCASSES & HALF CARCASSES OF LAMB FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC041,LAMB SIDE/SADDLE BONE-IN CHILLED,TNE,MEA,MEA,-,-,-
489,02041000,CARCASSES & HALF CARCASSES OF LAMB FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC050,LAMB CARCASS BONELESS CHILLED,TNE,MEA,MEA,-,-,-
490,02042100,CARCASSES & HALF CARCASSES OF SHEEP FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC000,MUTTON  CARCASS BONE-IN CHILLED,TNE,MEA,MEA,-,-,-
491,02042100,CARCASSES & HALF CARCASSES OF SHEEP FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC001,MUTTON SIDE/SADDLE BONE-IN CHILLED,TNE,MEA,MEA,-,-,-
492,02042100,CARCASSES & HALF CARCASSES OF SHEEP FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC010,MUTTON CARCASS BONELESS CHILLED,TNE,MEA,MEA,-,-,-
493,02042200,OTHER CUTS OF MEAT OF SHEEP WITH BONE IN FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC002,MUTTON FOREQUARTER BONE-IN CHILLED,TNE,MEA,MEA,-,-,-
494,02042200,OTHER CUTS OF MEAT OF SHEEP WITH BONE IN FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC003,MUTTON LEG/HINDQUARTER BONE-IN CHILLED,TNE,MEA,MEA,-,-,-
495,02042200,OTHER CUTS OF MEAT OF SHEEP WITH BONE IN FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC004,MUTTON SHOULDER BONE-IN CHILLED,TNE,MEA,MEA,-,-,-
496,02042200,OTHER CUTS OF MEAT OF SHEEP WITH BONE IN FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC006,MUTTON RIB BONE-IN CHILLED,TNE,MEA,MEA,-,-,-
497,02042200,OTHER CUTS OF MEAT OF SHEEP WITH BONE IN FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC007,MUTTON NECK BONE-IN CHILLED,TNE,MEA,MEA,-,-,-
498,02042200,OTHER CUTS OF MEAT OF SHEEP WITH BONE IN FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC008,MUTTON BREAST/FLAP BONE-IN CHILLED,TNE,MEA,MEA,-,-,-
499,02042200,OTHER CUTS OF MEAT OF SHEEP WITH BONE IN FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC009,MUTTON SHANK/SHIN BONE-IN CHILLED,TNE,MEA,MEA,-,-,-
500,02042200,OTHER CUTS OF MEAT OF SHEEP WITH BONE IN FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC00L,MUTTON LOIN/RACK BONE-IN CHILLED,TNE,MEA,MEA,-,-,-
501,02042200,OTHER CUTS OF MEAT OF SHEEP WITH BONE IN FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC00Z,MUTTON BONE-IN OTHERS CHILLED,TNE,MEA,MEA,-,-,-
502,02042200,OTHER CUTS OF MEAT OF SHEEP WITH BONE IN FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC042,LAMB FOREQUARTER BONE-IN CHILLED,TNE,MEA,MEA,-,-,-
503,02042200,OTHER CUTS OF MEAT OF SHEEP WITH BONE IN FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC043,LAMB LEG/HINDQUARTER BONE-IN CHILLED,TNE,MEA,MEA,-,-,-
504,02042200,OTHER CUTS OF MEAT OF SHEEP WITH BONE IN FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC044,LAMB SHOULDER BONE-IN CHILLED,TNE,MEA,MEA,-,-,-
505,02042200,OTHER CUTS OF MEAT OF SHEEP WITH BONE IN FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC046,LAMB RIB BONE-IN CHILLED,TNE,MEA,MEA,-,-,-
506,02042200,OTHER CUTS OF MEAT OF SHEEP WITH BONE IN FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC047,LAMB NECK BONE-IN CHILLED,TNE,MEA,MEA,-,-,-
507,02042200,OTHER CUTS OF MEAT OF SHEEP WITH BONE IN FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC048,LAMB BREAST/FLAP BONE-IN CHILLED,TNE,MEA,MEA,-,-,-
508,02042200,OTHER CUTS OF MEAT OF SHEEP WITH BONE IN FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC049,LAMB SHANK/SHIN BONE-IN CHILLED,TNE,MEA,MEA,-,-,-
509,02042200,OTHER CUTS OF MEAT OF SHEEP WITH BONE IN FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC04L,LAMB LOIN/RACK BONE-IN CHILLED,TNE,MEA,MEA,-,-,-
510,02042200,OTHER CUTS OF MEAT OF SHEEP WITH BONE IN FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC04Z,LAMB CUTS BONE-IN OTHERS CHILLED,TNE,MEA,MEA,-,-,-
511,02042300,BONELESS MEAT OF SHEEP FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC054,LAMB SHOULDER BONELESS CHILLED,TNE,MEA,MEA,-,-,-
512,02042300,BONELESS MEAT OF SHEEP FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC059,LAMB SHANK/SHIN BONELESS CHILLED,TNE,MEA,MEA,-,-,-
513,02042300,BONELESS MEAT OF SHEEP FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC05A,LAMB BACKSTRAP BONELESS CHILLED,TNE,MEA,MEA,-,-,-
514,02042300,BONELESS MEAT OF SHEEP FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC05L,LAMB LOIN/RACK BONELESS CHILLED,TNE,MEA,MEA,-,-,-
515,02042300,BONELESS MEAT OF SHEEP FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC061,LAMB TENDERLOIN/FILLET BONELESS CHILLED,TNE,MEA,MEA,-,-,-
516,02042300,BONELESS MEAT OF SHEEP FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC06Z,LAMB CUTS BONELESS OTHERS CHILLED,TNE,MEA,MEA,-,-,-
517,02042300,BONELESS MEAT OF SHEEP FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC011,MUTTON SIDE/SADDLE BONELESS CHILLED,TNE,MEA,MEA,-,-,-
518,02042300,BONELESS MEAT OF SHEEP FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC013,MUTTON LEG/HINDQUARTER BONELESS CHILLED,TNE,MEA,MEA,-,-,-
519,02042300,BONELESS MEAT OF SHEEP FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC014,MUTTON SHOULDER BONELESS CHILLED,TNE,MEA,MEA,-,-,-
520,02042300,BONELESS MEAT OF SHEEP FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC019,MUTTON SHANK/SHIN BONELESS CHILLED,TNE,MEA,MEA,-,-,-
521,02042300,BONELESS MEAT OF SHEEP FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC01A,MUTTON BACKSTRAP BONELESS CHILLED,TNE,MEA,MEA,-,-,-
522,02042300,BONELESS MEAT OF SHEEP FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC01Z,MUTTON BONELESS OTHERS CHILLED,TNE,MEA,MEA,-,-,-
523,02042300,BONELESS MEAT OF SHEEP FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC021,MUTTON TENDERLOIN/FILLET BONELESS CHILLED,TNE,MEA,MEA,-,-,-
524,02042300,BONELESS MEAT OF SHEEP FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC032,MUTTON TRIMMING CHILLED,TNE,MEA,MEA,-,-,-
525,02042300,BONELESS MEAT OF SHEEP FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC034,MUTTON MINCED CHILLED,TNE,MEA,MEA,-,-,-
526,02042300,BONELESS MEAT OF SHEEP FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC036,MUTTON TRUNK BONELESS CHILLED,TNE,MEA,MEA,-,-,-
527,02042300,BONELESS MEAT OF SHEEP FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC052,LAMB FOREQUARTER BONELESS CHILLED,TNE,MEA,MEA,-,-,-
528,02042300,BONELESS MEAT OF SHEEP FRESH OR CHILLED (TNE),TNE,MEA,MEA,-,MMC053,LAMB LEG/HINDQUARTER BONELESS CHILLED,TNE,MEA,MEA,-,-,-
529,02043000,CARCASSES & HALF CARCASSES OF LAMB FROZEN (TNE),TNE,MEA,MEA,-,MMF040,LAMB CARCASS BONE-IN FROZEN,TNE,MEA,MEA,-,-,-
530,02043000,CARCASSES & HALF CARCASSES OF LAMB FROZEN (TNE),TNE,MEA,MEA,-,MMF041,LAMB SIDE/SADDLE BONE-IN FROZEN,TNE,MEA,MEA,-,-,-
531,02043000,CARCASSES & HALF CARCASSES OF LAMB FROZEN (TNE),TNE,MEA,MEA,-,MMF050,LAMB CARCASS BONELESS FROZEN,TNE,MEA,MEA,-,-,-
