S/N,HS Code,HS Description,HS Qty Unit,Competent Authorities - Controlling by HS Code,,,CA Product Code,CA Product Description,CA Product Qty Unit,Competent Authorities - Controlling by Product Code,,,Duty Rates,
36,01059449,OTHER FIGHTING COCKS GALLUS DOMESTICUS MORE THAN 2 KG (NMB),NMB,-,-,-,-,-,-,-,-,-,-,-
37,01059491,OTHER LIVE FOWLS OF GALLUS DOMESTICUS MORE THAN 185G BUT 2 KG OR LESS (NMB),NMB,L&A,L&A,L&A,VPL0CH,LIVE CHICKENS >= 185 G TO < 2 KG FOR HUMAN CONSUMPTION,NMB,L&A,L&A,L&A,-,-
38,01059499,OTHER LIVE FOWLS OF GALLUS DOMESTICUS MORE THAN 2KG (NMB),NMB,L&A,L&A,L&A,VPL0CH,LIVE CHICKENS >= 2 KG FOR HUMAN CONSUMPTION,NMB,L&A,L&A,L&A,-,-
39,01059910,OTHER BREEDING DUCKS MORE THAN 185G (NMB),NMB,L&A,L&A,L&A,VBP0DU,LIVE BREEDING DUCKS > 185 G,NMB,L&A,L&A,L&A,-,-
40,01059920,OTHER LIVE DUCKS MORE THAN 185G (NMB),NMB,L&A,L&A,L&A,VPL0DU,LIVE DUCKS >= 185 G FOR HUMAN CONSUMPTION,NMB,L&A,L&A,L&A,-,-
41,01059930,BREEDING GEESE TURKEYS & GUINEA FOWLS MORE THAN 185G (NMB),NMB,L&A,L&A,L&A,VBP0GE,"LIVE BREEDING GEESE, TURKEYS & GUINEA FOWLS > 185 G",NMB,L&A,L&A,L&A,-,-
42,01059940,OTHER LIVE GEESE TURKEYS & GUINEA FOWLS MORE THAN 185G (NMB),NMB,L&A,L&A,L&A,VPL0GE,LIVE GEESE FOR HUMAN CONSUMPTION,NMB,L&A,L&A,L&A,-,-
43,01059940,OTHER LIVE GEESE TURKEYS & GUINEA FOWLS MORE THAN 185G (NMB),NMB,L&A,L&A,L&A,VPL0TU,LIVE TURKEYS >= 185 G FOR HUMAN CONSUMPTION,NMB,L&A,L&A,L&A,-,-
44,01061100,LIVE PRIMATES (NMB),NMB,ANI,ANI,ANI,VLA0ZZ,OTHER LIVE LABORATORY PRIMATES,NMB,ANI,ANI,ANI,-,-
45,01061100,LIVE PRIMATES (NMB),NMB,ANI,ANI,ANI,VWA1PM,OTHER LIVE PRIMATES,NMB,ANI,ANI,ANI,-,-
46,01061210,LIVE WHALES DOLPHINS PORPOISES (MAMMALS OF THE ORDER CETACEA) MANATEES & DUGONGS (MAMMALS OF THE ORDER SIRENIA) (NMB),NMB,ANI,ANI,ANI,VWA1DG,LIVE MANATEES/DUGONGS,NMB,ANI,ANI,ANI,-,-
47,01061210,LIVE WHALES DOLPHINS PORPOISES (MAMMALS OF THE ORDER CETACEA) MANATEES & DUGONGS (MAMMALS OF THE ORDER SIRENIA) (NMB),NMB,ANI,ANI,ANI,VWA1WD,LIVE WHALES/DOLPHINS,NMB,ANI,ANI,ANI,-,-
48,01061220,LIVE SEALS SEA LIONS & WALRUSES (MAMMALS OF THE SUBORDER PINNIPEDIA) (NMB),NMB,ANI,ANI,ANI,-,-,-,-,-,-,-,-
49,01061300,LIVE CAMELS & OTHER CAMELIDS (NMB),NMB,ANI,ANI,ANI,VWA0ZZ,LIVE ZOO ANIMALS (NON-CITES): CAMELS AND OTHER CAMELIDS,NMB,ANI,ANI,ANI,-,-
50,01061400,LIVE RABBITS & HARES (NMB),NMB,ANI,ANI,ANI,VLA0RA,LIVE RABBITS,NMB,ANI,ANI,ANI,-,-
51,01061400,LIVE RABBITS & HARES (NMB),NMB,ANI,ANI,ANI,VPA0RA,LIVE RABBITS,NMB,ANI,ANI,ANI,-,-
52,01061900,OTHER LIVE MAMMALS (NMB),NMB,ANI,ANI,ANI,VPA0CP,LIVE CATS (PERSONAL),NMB,ANI,ANI,ANI,-,-
53,01061900,OTHER LIVE MAMMALS (NMB),NMB,ANI,ANI,ANI,VPA0DG,LIVE DOGS (COMMERCIAL),NMB,ANI,ANI,ANI,-,-
54,01061900,OTHER LIVE MAMMALS (NMB),NMB,ANI,ANI,ANI,VPA0DP,LIVE DOGS (PERSONAL),NMB,ANI,ANI,ANI,-,-
55,01061900,OTHER LIVE MAMMALS (NMB),NMB,ANI,ANI,ANI,VPA0GP,LIVE GUINEA PIGS,NMB,ANI,ANI,ANI,-,-
56,01061900,OTHER LIVE MAMMALS (NMB),NMB,ANI,ANI,ANI,VPA0HA,LIVE HAMSTERS,NMB,ANI,ANI,ANI,-,-
57,01061900,OTHER LIVE MAMMALS (NMB),NMB,ANI,ANI,ANI,VPA0ZZ,OTHER LIVE PET  MAMMALS,NMB,ANI,ANI,ANI,-,-
58,01061900,OTHER LIVE MAMMALS (NMB),NMB,ANI,ANI,ANI,VWA0ZZ,OTHER LIVE ZOO MAMMALS (NON-CITES),NMB,ANI,ANI,ANI,-,-
59,01061900,OTHER LIVE MAMMALS (NMB),NMB,ANI,ANI,ANI,VLA0GP,LIVE GUINEA PIGS,NMB,ANI,ANI,ANI,-,-
60,01061900,OTHER LIVE MAMMALS (NMB),NMB,ANI,ANI,ANI,VLA0HA,LIVE HAMSTERS,NMB,ANI,ANI,ANI,-,-
61,01061900,OTHER LIVE MAMMALS (NMB),NMB,ANI,ANI,ANI,VLA0MC,LIVE MICE,NMB,ANI,ANI,ANI,-,-
62,01061900,OTHER LIVE MAMMALS (NMB),NMB,ANI,ANI,ANI,VLA0RT,LIVE RATS,NMB,ANI,ANI,ANI,-,-
63,01061900,OTHER LIVE MAMMALS (NMB),NMB,ANI,ANI,ANI,VLA0ZZ,OTHER LIVE LABORATORY MAMMALS,NMB,ANI,ANI,ANI,-,-
